	Frequency [Hz]	Amplitude [mm]	Phase Angle [°]	
864	259,2	0,9333	-127,41	
865	259,5	0,91471	-127,37	
866	259,8	0,89645	-127,32	
867	260,1	0,87851	-127,27	
868	260,4	0,86088	-127,22	
869	260,7	0,84355	-127,16	
870	261,	0,82651	-127,1	
871	261,3	0,80976	-127,04	
872	261,6	0,79328	-126,98	
873	261,9	0,77708	-126,91	
874	262,2	0,76113	-126,84	
875	262,5	0,74543	-126,77	
876	262,8	0,72998	-126,69	
877	263,1	0,71477	-126,61	
878	263,4	0,6998	-126,53	
879	263,7	0,68505	-126,44	
880	264,	0,67052	-126,35	
881	264,3	0,65621	-126,25	
882	264,6	0,6421	-126,15	
883	264,9	0,6282	-126,05	
884	265,2	0,6145	-125,94	
885	265,5	0,601	-125,82	
886	265,8	0,58768	-125,71	
887	266,1	0,57455	-125,58	
888	266,4	0,5616	-125,45	
889	266,7	0,54883	-125,32	
890	267,	0,53623	-125,18	
891	267,3	0,52379	-125,03	
892	267,6	0,51153	-124,88	
893	267,9	0,49942	-124,72	
894	268,2	0,48747	-124,55	
895	268,5	0,47567	-124,38	
896	268,8	0,46402	-124,19	
897	269,1	0,45252	-124,	
898	269,4	0,44116	-123,8	
899	269,7	0,42995	-123,59	
900	270,	0,41887	-123,37	
901	270,3	0,40793	-123,15	
902	270,6	0,39713	-122,91	
903	270,9	0,38645	-122,65	
904	271,2	0,3759	-122,39	
905	271,5	0,36548	-122,11	
906	271,8	0,35519	-121,82	
907	272,1	0,34501	-121,51	
908	272,4	0,33496	-121,18	
909	272,7	0,32503	-120,84	
910	273,	0,31521	-120,48	
911	273,3	0,30551	-120,1	
912	273,6	0,29593	-119,69	
913	273,9	0,28645	-119,26	
914	274,2	0,2771	-118,81	
915	274,5	0,26785	-118,33	
916	274,8	0,25872	-117,81	
917	275,1	0,2497	-117,27	
918	275,4	0,24079	-116,68	
919	275,7	0,23199	-116,06	
920	276,	0,22331	-115,39	
921	276,3	0,21474	-114,67	
922	276,6	0,20629	-113,9	
923	276,9	0,19796	-113,07	
924	277,2	0,18975	-112,18	
925	277,5	0,18166	-111,21	
926	277,8	0,1737	-110,15	
927	278,1	0,16588	-109,01	
928	278,4	0,15819	-107,76	
929	278,7	0,15066	-106,4	
930	279,	0,14329	-104,9	
931	279,3	0,13608	-103,26	
932	279,6	0,12906	-101,45	
933	279,9	0,12224	-99,442	
934	280,2	0,11565	-97,221	
935	280,5	0,1093	-94,755	
936	280,8	0,10323	-92,01	
937	281,1	9,7473e-002	-88,954	
938	281,4	9,2071e-002	-85,551	
939	281,7	8,7075e-002	-81,767	
940	282,	8,2539e-002	-77,575	
941	282,3	7,8527e-002	-72,958	
942	282,6	7,5104e-002	-67,917	
943	282,9	7,2338e-002	-62,483	
944	283,2	7,0286e-002	-56,714	
945	283,5	6,8996e-002	-50,707	
946	283,8	6,8494e-002	-44,584	
947	284,1	6,878e-002	-38,484	
948	284,4	6,9829e-002	-32,542	
949	284,7	7,1593e-002	-26,874	
950	285,	7,4006e-002	-21,563	
951	285,3	7,6994e-002	-16,658	
952	285,6	8,0482e-002	-12,18	
953	285,9	8,4397e-002	-8,123	
954	286,2	8,8671e-002	-4,4659	
955	286,5	9,3246e-002	-1,1785	
956	286,8	9,8072e-002	1,7736	
957	287,1	0,1031	4,4254	
958	287,4	0,10831	6,8105	
959	287,7	0,11365	8,9599	
960	288,	0,11911	10,901	
961	288,3	0,12466	12,659	
962	288,6	0,1303	14,256	
963	288,9	0,13599	15,71	
964	289,2	0,14173	17,038	
965	289,5	0,14751	18,255	
966	289,8	0,15333	19,372	
967	290,1	0,15917	20,4	
968	290,4	0,16503	21,35	
969	290,7	0,1709	22,228	
970	291,	0,17678	23,043	
971	291,3	0,18266	23,801	
972	291,6	0,18855	24,507	
973	291,9	0,19443	25,166	
974	292,2	0,20031	25,783	
975	292,5	0,20619	26,36	
976	292,8	0,21206	26,903	
977	293,1	0,21793	27,412	
978	293,4	0,22378	27,893	
979	293,7	0,22962	28,346	
980	294,	0,23545	28,774	
981	294,3	0,24127	29,179	
982	294,6	0,24708	29,562	
983	294,9	0,25288	29,926	
984	295,2	0,25866	30,271	
985	295,5	0,26443	30,6	
986	295,8	0,27018	30,912	
987	296,1	0,27592	31,21	
988	296,4	0,28165	31,494	
989	296,7	0,28736	31,766	
990	297,	0,29306	32,025	
991	297,3	0,29874	32,273	
992	297,6	0,30441	32,511	
993	297,9	0,31007	32,738	
994	298,2	0,31571	32,957	
995	298,5	0,32134	33,166	
996	298,8	0,32695	33,368	
997	299,1	0,33255	33,561	
998	299,4	0,33814	33,748	
999	299,7	0,34372	33,927	
1000	300,	0,34928	34,015	
