	Time [s]	Minimum [mm]	Maximum [mm]	Average [mm]	
455	0,455	-6,9943e-003	-6,9943e-003	-6,9943e-003	
456	0,456	2,4674e-003	2,4674e-003	2,4674e-003	
457	0,457	8,4406e-003	8,4406e-003	8,4406e-003	
458	0,458	4,9689e-003	4,9689e-003	4,9689e-003	
459	0,459	-3,8585e-003	-3,8585e-003	-3,8585e-003	
460	0,46	-8,5825e-003	-8,5825e-003	-8,5825e-003	
461	0,461	-3,4854e-003	-3,4854e-003	-3,4854e-003	
462	0,462	5,9724e-003	5,9724e-003	5,9724e-003	
463	0,463	8,5213e-003	8,5213e-003	8,5213e-003	
464	0,464	8,7508e-004	8,7508e-004	8,7508e-004	
465	0,465	-7,8757e-003	-7,8757e-003	-7,8757e-003	
466	0,466	-7,0628e-003	-7,0628e-003	-7,0628e-003	
467	0,467	2,1254e-003	2,1254e-003	2,1254e-003	
468	0,468	8,2679e-003	8,2679e-003	8,2679e-003	
469	0,469	4,683e-003	4,683e-003	4,683e-003	
470	0,47	-3,7424e-003	-3,7424e-003	-3,7424e-003	
471	0,471	-7,8612e-003	-7,8612e-003	-7,8612e-003	
472	0,472	-3,2672e-003	-3,2672e-003	-3,2672e-003	
473	0,473	5,3006e-003	5,3006e-003	5,3006e-003	
474	0,474	7,895e-003	7,895e-003	7,895e-003	
475	0,475	1,1056e-003	1,1056e-003	1,1056e-003	
476	0,476	-7,059e-003	-7,059e-003	-7,059e-003	
477	0,477	-6,8218e-003	-6,8218e-003	-6,8218e-003	
478	0,478	1,5115e-003	1,5115e-003	1,5115e-003	
479	0,479	7,8603e-003	7,8603e-003	7,8603e-003	
480	0,48	4,7988e-003	4,7988e-003	4,7988e-003	
481	0,481	-3,5517e-003	-3,5517e-003	-3,5517e-003	
482	0,482	-7,518e-003	-7,518e-003	-7,518e-003	
483	0,483	-3,047e-003	-3,047e-003	-3,047e-003	
484	0,484	4,8737e-003	4,8737e-003	4,8737e-003	
485	0,485	7,3498e-003	7,3498e-003	7,3498e-003	
486	0,486	1,1812e-003	1,1812e-003	1,1812e-003	
487	0,487	-6,4624e-003	-6,4624e-003	-6,4624e-003	
488	0,488	-6,3937e-003	-6,3937e-003	-6,3937e-003	
489	0,489	1,1509e-003	1,1509e-003	1,1509e-003	
490	0,49	7,1776e-003	7,1776e-003	7,1776e-003	
491	0,491	4,7802e-003	4,7802e-003	4,7802e-003	
492	0,492	-3,0628e-003	-3,0628e-003	-3,0628e-003	
493	0,493	-7,1989e-003	-7,1989e-003	-7,1989e-003	
494	0,494	-3,0445e-003	-3,0445e-003	-3,0445e-003	
495	0,495	4,5128e-003	4,5128e-003	4,5128e-003	
496	0,496	6,9281e-003	6,9281e-003	6,9281e-003	
497	0,497	1,2947e-003	1,2947e-003	1,2947e-003	
498	0,498	-5,987e-003	-5,987e-003	-5,987e-003	
499	0,499	-6,1288e-003	-6,1288e-003	-6,1288e-003	
500	0,5	9,9023e-004	9,9023e-004	9,9023e-004	
501	0,501	6,6731e-003	6,6731e-003	6,6731e-003	
502	0,502	4,511e-003	4,511e-003	4,511e-003	
503	0,503	-2,6531e-003	-2,6531e-003	-2,6531e-003	
504	0,504	-6,6843e-003	-6,6843e-003	-6,6843e-003	
505	0,505	-3,0648e-003	-3,0648e-003	-3,0648e-003	
506	0,506	4,0762e-003	4,0762e-003	4,0762e-003	
507	0,507	6,5325e-003	6,5325e-003	6,5325e-003	
508	0,508	1,4177e-003	1,4177e-003	1,4177e-003	
509	0,509	-5,4528e-003	-5,4528e-003	-5,4528e-003	
510	0,51	-5,9289e-003	-5,9289e-003	-5,9289e-003	
511	0,511	7,0277e-004	7,0277e-004	7,0277e-004	
512	0,512	6,3453e-003	6,3453e-003	6,3453e-003	
513	0,513	4,351e-003	4,351e-003	4,351e-003	
514	0,514	-2,4621e-003	-2,4621e-003	-2,4621e-003	
515	0,515	-6,2132e-003	-6,2132e-003	-6,2132e-003	
516	0,516	-2,942e-003	-2,942e-003	-2,942e-003	
517	0,517	3,6542e-003	3,6542e-003	3,6542e-003	
518	0,518	6,1128e-003	6,1128e-003	6,1128e-003	
519	0,519	1,4857e-003	1,4857e-003	1,4857e-003	
520	0,52	-4,9426e-003	-4,9426e-003	-4,9426e-003	
521	0,521	-5,6158e-003	-5,6158e-003	-5,6158e-003	
522	0,522	3,7524e-004	3,7524e-004	3,7524e-004	
523	0,523	5,9046e-003	5,9046e-003	5,9046e-003	
524	0,524	4,3315e-003	4,3315e-003	4,3315e-003	
525	0,525	-2,2233e-003	-2,2233e-003	-2,2233e-003	
526	0,526	-5,9137e-003	-5,9137e-003	-5,9137e-003	
527	0,527	-2,8131e-003	-2,8131e-003	-2,8131e-003	
528	0,528	3,3442e-003	3,3442e-003	3,3442e-003	
529	0,529	5,7073e-003	5,7073e-003	5,7073e-003	
530	0,53	1,5224e-003	1,5224e-003	1,5224e-003	
531	0,531	-4,5212e-003	-4,5212e-003	-4,5212e-003	
532	0,532	-5,2953e-003	-5,2953e-003	-5,2953e-003	
533	0,533	1,8431e-004	1,8431e-004	1,8431e-004	
534	0,534	5,4135e-003	5,4135e-003	5,4135e-003	
535	0,535	4,2132e-003	4,2132e-003	4,2132e-003	
536	0,536	-1,8857e-003	-1,8857e-003	-1,8857e-003	
537	0,537	-5,6071e-003	-5,6071e-003	-5,6071e-003	
538	0,538	-2,7782e-003	-2,7782e-003	-2,7782e-003	
539	0,539	3,0809e-003	3,0809e-003	3,0809e-003	
540	0,54	5,3511e-003	5,3511e-003	5,3511e-003	
541	0,541	1,5457e-003	1,5457e-003	1,5457e-003	
542	0,542	-4,1192e-003	-4,1192e-003	-4,1192e-003	
543	0,543	-5,0412e-003	-5,0412e-003	-5,0412e-003	
544	0,544	2,5437e-005	2,5437e-005	2,5437e-005	
545	0,545	5,0331e-003	5,0331e-003	5,0331e-003	
546	0,546	4,0339e-003	4,0339e-003	4,0339e-003	
547	0,547	-1,6252e-003	-1,6252e-003	-1,6252e-003	
548	0,548	-5,2432e-003	-5,2432e-003	-5,2432e-003	
549	0,549	-2,7401e-003	-2,7401e-003	-2,7401e-003	
550	0,55	2,8071e-003	2,8071e-003	2,8071e-003	
551	0,551	5,0302e-003	5,0302e-003	5,0302e-003	
552	0,552	1,5354e-003	1,5354e-003	1,5354e-003	
553	0,553	-3,7259e-003	-3,7259e-003	-3,7259e-003	
554	0,554	-4,7586e-003	-4,7586e-003	-4,7586e-003	
555	0,555	-1,7874e-004	-1,7874e-004	-1,7874e-004	
556	0,556	4,6701e-003	4,6701e-003	4,6701e-003	
557	0,557	3,927e-003	3,927e-003	3,927e-003	
558	0,558	-1,4155e-003	-1,4155e-003	-1,4155e-003	
559	0,559	-4,9345e-003	-4,9345e-003	-4,9345e-003	
560	0,56	-2,6733e-003	-2,6733e-003	-2,6733e-003	
561	0,561	2,5586e-003	2,5586e-003	2,5586e-003	
562	0,562	4,7444e-003	4,7444e-003	4,7444e-003	
563	0,563	1,504e-003	1,504e-003	1,504e-003	
564	0,564	-3,4131e-003	-3,4131e-003	-3,4131e-003	
565	0,565	-4,4331e-003	-4,4331e-003	-4,4331e-003	
566	0,566	-3,1701e-004	-3,1701e-004	-3,1701e-004	
567	0,567	4,2479e-003	4,2479e-003	4,2479e-003	
568	0,568	3,8085e-003	3,8085e-003	3,8085e-003	
569	0,569	-1,1542e-003	-1,1542e-003	-1,1542e-003	
570	0,57	-4,6528e-003	-4,6528e-003	-4,6528e-003	
571	0,571	-2,6417e-003	-2,6417e-003	-2,6417e-003	
572	0,572	2,3239e-003	2,3239e-003	2,3239e-003	
573	0,573	4,4976e-003	4,4976e-003	4,4976e-003	
574	0,574	1,5064e-003	1,5064e-003	1,5064e-003	
575	0,575	-3,1692e-003	-3,1692e-003	-3,1692e-003	
576	0,576	-4,1744e-003	-4,1744e-003	-4,1744e-003	
577	0,577	-3,5922e-004	-3,5922e-004	-3,5922e-004	
578	0,578	3,883e-003	3,883e-003	3,883e-003	
579	0,579	3,6021e-003	3,6021e-003	3,6021e-003	
580	0,58	-9,1647e-004	-9,1647e-004	-9,1647e-004	
581	0,581	-4,3214e-003	-4,3214e-003	-4,3214e-003	
582	0,582	-2,6084e-003	-2,6084e-003	-2,6084e-003	
583	0,583	2,0696e-003	2,0696e-003	2,0696e-003	
584	0,584	4,2436e-003	4,2436e-003	4,2436e-003	
585	0,585	1,5386e-003	1,5386e-003	1,5386e-003	
586	0,586	-2,9012e-003	-2,9012e-003	-2,9012e-003	
587	0,587	-3,9881e-003	-3,9881e-003	-3,9881e-003	
588	0,588	-4,3112e-004	-4,3112e-004	-4,3112e-004	
589	0,589	3,6241e-003	3,6241e-003	3,6241e-003	
590	0,59	3,4166e-003	3,4166e-003	3,4166e-003	
591	0,591	-7,7575e-004	-7,7575e-004	-7,7575e-004	
592	0,592	-4,0061e-003	-4,0061e-003	-4,0061e-003	
593	0,593	-2,5197e-003	-2,5197e-003	-2,5197e-003	
594	0,594	1,842e-003	1,842e-003	1,842e-003	
595	0,595	3,9683e-003	3,9683e-003	3,9683e-003	
596	0,596	1,5298e-003	1,5298e-003	1,5298e-003	
597	0,597	-2,6096e-003	-2,6096e-003	-2,6096e-003	
598	0,598	-3,763e-003	-3,763e-003	-3,763e-003	
599	0,599	-5,5725e-004	-5,5725e-004	-5,5725e-004	
600	0,6	3,3476e-003	3,3476e-003	3,3476e-003	
601	0,601	3,312e-003	3,312e-003	3,312e-003	
602	0,602	-6,3678e-004	-6,3678e-004	-6,3678e-004	
603	0,603	-3,7711e-003	-3,7711e-003	-3,7711e-003	
604	0,604	-2,4363e-003	-2,4363e-003	-2,4363e-003	
605	0,605	1,6738e-003	1,6738e-003	1,6738e-003	
606	0,606	3,7308e-003	3,7308e-003	3,7308e-003	
607	0,607	1,478e-003	1,478e-003	1,478e-003	
608	0,608	-2,3841e-003	-2,3841e-003	-2,3841e-003	
609	0,609	-3,4938e-003	-3,4938e-003	-3,4938e-003	
610	0,61	-6,2045e-004	-6,2045e-004	-6,2045e-004	
611	0,611	3,0165e-003	3,0165e-003	3,0165e-003	
612	0,612	3,1759e-003	3,1759e-003	3,1759e-003	
613	0,613	-4,376e-004	-4,376e-004	-4,376e-004	
614	0,614	-3,5341e-003	-3,5341e-003	-3,5341e-003	
615	0,615	-2,4106e-003	-2,4106e-003	-2,4106e-003	
616	0,616	1,5033e-003	1,5033e-003	1,5033e-003	
617	0,617	3,5504e-003	3,5504e-003	3,5504e-003	
618	0,618	1,4574e-003	1,4574e-003	1,4574e-003	
619	0,619	-2,2251e-003	-2,2251e-003	-2,2251e-003	
620	0,62	-3,2844e-003	-3,2844e-003	-3,2844e-003	
621	0,621	-6,052e-004	-6,052e-004	-6,052e-004	
622	0,622	2,7479e-003	2,7479e-003	2,7479e-003	
623	0,623	2,9623e-003	2,9623e-003	2,9623e-003	
624	0,624	-2,7881e-004	-2,7881e-004	-2,7881e-004	
625	0,625	-3,2361e-003	-3,2361e-003	-3,2361e-003	
626	0,626	-2,3695e-003	-2,3695e-003	-2,3695e-003	
627	0,627	1,2884e-003	1,2884e-003	1,2884e-003	
628	0,628	3,3621e-003	3,3621e-003	3,3621e-003	
629	0,629	1,4834e-003	1,4834e-003	1,4834e-003	
630	0,63	-2,0482e-003	-2,0482e-003	-2,0482e-003	
631	0,631	-3,1445e-003	-3,1445e-003	-3,1445e-003	
632	0,632	-6,1991e-004	-6,1991e-004	-6,1991e-004	
633	0,633	2,5721e-003	2,5721e-003	2,5721e-003	
634	0,634	2,7805e-003	2,7805e-003	2,7805e-003	
635	0,635	-2,1379e-004	-2,1379e-004	-2,1379e-004	
636	0,636	-2,9639e-003	-2,9639e-003	-2,9639e-003	
637	0,637	-2,2577e-003	-2,2577e-003	-2,2577e-003	
638	0,638	1,0941e-003	1,0941e-003	1,0941e-003	
639	0,639	3,13e-003	3,13e-003	3,13e-003	
640	0,64	1,4902e-003	1,4902e-003	1,4902e-003	
641	0,641	-1,835e-003	-1,835e-003	-1,835e-003	
642	0,642	-2,9879e-003	-2,9879e-003	-2,9879e-003	
643	0,643	-6,8718e-004	-6,8718e-004	-6,8718e-004	
644	0,644	2,3877e-003	2,3877e-003	2,3877e-003	
645	0,645	2,6736e-003	2,6736e-003	2,6736e-003	
646	0,646	-1,4889e-004	-1,4889e-004	-1,4889e-004	
647	0,647	-2,7737e-003	-2,7737e-003	-2,7737e-003	
648	0,648	-2,1467e-003	-2,1467e-003	-2,1467e-003	
649	0,649	9,6877e-004	9,6877e-004	9,6877e-004	
650	0,65	2,9114e-003	2,9114e-003	2,9114e-003	
651	0,651	1,4479e-003	1,4479e-003	1,4479e-003	
652	0,652	-1,6488e-003	-1,6488e-003	-1,6488e-003	
653	0,653	-2,7933e-003	-2,7933e-003	-2,7933e-003	
654	0,654	-7,2734e-004	-7,2734e-004	-7,2734e-004	
655	0,655	2,1629e-003	2,1629e-003	2,1629e-003	
656	0,656	2,5556e-003	2,5556e-003	2,5556e-003	
657	0,657	-3,5211e-005	-3,5211e-005	-3,5211e-005	
658	0,658	-2,5912e-003	-2,5912e-003	-2,5912e-003	
659	0,659	-2,0894e-003	-2,0894e-003	-2,0894e-003	
660	0,66	8,5544e-004	8,5544e-004	8,5544e-004	
661	0,661	2,7462e-003	2,7462e-003	2,7462e-003	
662	0,662	1,4082e-003	1,4082e-003	1,4082e-003	
663	0,663	-1,5141e-003	-1,5141e-003	-1,5141e-003	
664	0,664	-2,6216e-003	-2,6216e-003	-2,6216e-003	
665	0,665	-7,1772e-004	-7,1772e-004	-7,1772e-004	
666	0,666	1,9691e-003	1,9691e-003	1,9691e-003	
667	0,667	2,3915e-003	2,3915e-003	2,3915e-003	
668	0,668	5,7421e-005	5,7421e-005	5,7421e-005	
669	0,669	-2,3696e-003	-2,3696e-003	-2,3696e-003	
670	0,67	-2,0292e-003	-2,0292e-003	-2,0292e-003	
671	0,671	7,0935e-004	7,0935e-004	7,0935e-004	
672	0,672	2,5886e-003	2,5886e-003	2,5886e-003	
673	0,673	1,4029e-003	1,4029e-003	1,4029e-003	
674	0,674	-1,3831e-003	-1,3831e-003	-1,3831e-003	
675	0,675	-2,495e-003	-2,495e-003	-2,495e-003	
676	0,676	-7,1614e-004	-7,1614e-004	-7,1614e-004	
677	0,677	1,8317e-003	1,8317e-003	1,8317e-003	
678	0,678	2,2442e-003	2,2442e-003	2,2442e-003	
679	0,679	9,2996e-005	9,2996e-005	9,2996e-005	
680	0,68	-2,1649e-003	-2,1649e-003	-2,1649e-003	
681	0,681	-1,9245e-003	-1,9245e-003	-1,9245e-003	
682	0,682	5,7378e-004	5,7378e-004	5,7378e-004	
683	0,683	2,4027e-003	2,4027e-003	2,4027e-003	
684	0,684	1,3941e-003	1,3941e-003	1,3941e-003	
685	0,685	-1,2302e-003	-1,2302e-003	-1,2302e-003	
686	0,686	-2,3696e-003	-2,3696e-003	-2,3696e-003	
687	0,687	-7,4502e-004	-7,4502e-004	-7,4502e-004	
688	0,688	1,6984e-003	1,6984e-003	1,6984e-003	
689	0,689	2,1422e-003	2,1422e-003	2,1422e-003	
690	0,69	1,2372e-004	1,2372e-004	1,2372e-004	
691	0,691	-2,0127e-003	-2,0127e-003	-2,0127e-003	
692	0,692	-1,8178e-003	-1,8178e-003	-1,8178e-003	
693	0,693	4,8418e-004	4,8418e-004	4,8418e-004	
694	0,694	2,2211e-003	2,2211e-003	2,2211e-003	
695	0,695	1,3541e-003	1,3541e-003	1,3541e-003	
696	0,696	-1,0867e-003	-1,0867e-003	-1,0867e-003	
697	0,697	-2,2246e-003	-2,2246e-003	-2,2246e-003	
698	0,698	-7,6644e-004	-7,6644e-004	-7,6644e-004	
699	0,699	1,5468e-003	1,5468e-003	1,5468e-003	
700	0,7	2,0424e-003	2,0424e-003	2,0424e-003	
701	0,701	1,791e-004	1,791e-004	1,791e-004	
702	0,702	-1,8738e-003	-1,8738e-003	-1,8738e-003	
703	0,703	-1,7423e-003	-1,7423e-003	-1,7423e-003	
704	0,704	4,1045e-004	4,1045e-004	4,1045e-004	
705	0,705	2,072e-003	2,072e-003	2,072e-003	
706	0,706	1,307e-003	1,307e-003	1,307e-003	
707	0,707	-9,719e-004	-9,719e-004	-9,719e-004	
708	0,708	-2,0859e-003	-2,0859e-003	-2,0859e-003	
709	0,709	-7,6491e-004	-7,6491e-004	-7,6491e-004	
710	0,71	1,4084e-003	1,4084e-003	1,4084e-003	
711	0,711	1,9254e-003	1,9254e-003	1,9254e-003	
712	0,712	2,2654e-004	2,2654e-004	2,2654e-004	
713	0,713	-1,7221e-003	-1,7221e-003	-1,7221e-003	
714	0,714	-1,671e-003	-1,671e-003	-1,671e-003	
715	0,715	3,2598e-004	3,2598e-004	3,2598e-004	
716	0,716	1,9356e-003	1,9356e-003	1,9356e-003	
717	0,717	1,2728e-003	1,2728e-003	1,2728e-003	
718	0,718	-8,6771e-004	-8,6771e-004	-8,6771e-004	
719	0,719	-1,9659e-003	-1,9659e-003	-1,9659e-003	
720	0,72	-7,6306e-004	-7,6306e-004	-7,6306e-004	
721	0,721	1,2937e-003	1,2937e-003	1,2937e-003	
722	0,722	1,8179e-003	1,8179e-003	1,8179e-003	
723	0,723	2,5098e-004	2,5098e-004	2,5098e-004	
724	0,724	-1,5824e-003	-1,5824e-003	-1,5824e-003	
725	0,725	-1,5847e-003	-1,5847e-003	-1,5847e-003	
726	0,726	2,4871e-004	2,4871e-004	2,4871e-004	
727	0,727	1,7941e-003	1,7941e-003	1,7941e-003	
728	0,728	1,2383e-003	1,2383e-003	1,2383e-003	
729	0,729	-7,6248e-004	-7,6248e-004	-7,6248e-004	
730	0,73	-1,8496e-003	-1,8496e-003	-1,8496e-003	
731	0,731	-7,676e-004	-7,676e-004	-7,676e-004	
732	0,732	1,1826e-003	1,1826e-003	1,1826e-003	
733	0,733	1,7272e-003	1,7272e-003	1,7272e-003	
734	0,734	2,7518e-004	2,7518e-004	2,7518e-004	
735	0,735	-1,4661e-003	-1,4661e-003	-1,4661e-003	
736	0,736	-1,5025e-003	-1,5025e-003	-1,5025e-003	
737	0,737	1,9194e-004	1,9194e-004	1,9194e-004	
738	0,738	1,6604e-003	1,6604e-003	1,6604e-003	
739	0,739	1,1935e-003	1,1935e-003	1,1935e-003	
740	0,74	-6,6644e-004	-6,6644e-004	-6,6644e-004	
741	0,741	-1,7322e-003	-1,7322e-003	-1,7322e-003	
742	0,742	-7,6544e-004	-7,6544e-004	-7,6544e-004	
743	0,743	1,0721e-003	1,0721e-003	1,0721e-003	
744	0,744	1,6356e-003	1,6356e-003	1,6356e-003	
745	0,745	3,044e-004	3,044e-004	3,044e-004	
746	0,746	-1,3547e-003	-1,3547e-003	-1,3547e-003	
747	0,747	-1,4328e-003	-1,4328e-003	-1,4328e-003	
748	0,748	1,4104e-004	1,4104e-004	1,4104e-004	
749	0,749	1,5425e-003	1,5425e-003	1,5425e-003	
750	0,75	1,1482e-003	1,1482e-003	1,1482e-003	
751	0,751	-5,8327e-004	-5,8327e-004	-5,8327e-004	
752	0,752	-1,6226e-003	-1,6226e-003	-1,6226e-003	
753	0,753	-7,5693e-004	-7,5693e-004	-7,5693e-004	
754	0,754	9,74e-004	9,74e-004	9,74e-004	
755	0,755	1,5436e-003	1,5436e-003	1,5436e-003	
756	0,756	3,2437e-004	3,2437e-004	3,2437e-004	
757	0,757	-1,2453e-003	-1,2453e-003	-1,2453e-003	
758	0,758	-1,3621e-003	-1,3621e-003	-1,3621e-003	
759	0,759	9,0899e-005	9,0899e-005	9,0899e-005	
760	0,76	1,4301e-003	1,4301e-003	1,4301e-003	
761	0,761	1,1056e-003	1,1056e-003	1,1056e-003	
762	0,762	-5,0497e-004	-5,0497e-004	-5,0497e-004	
763	0,763	-1,5195e-003	-1,5195e-003	-1,5195e-003	
764	0,764	-7,5074e-004	-7,5074e-004	-7,5074e-004	
765	0,765	8,8389e-004	8,8389e-004	8,8389e-004	
766	0,766	1,462e-003	1,462e-003	1,462e-003	
767	0,767	3,3845e-004	3,3845e-004	3,3845e-004	
768	0,768	-1,1496e-003	-1,1496e-003	-1,1496e-003	
769	0,769	-1,2909e-003	-1,2909e-003	-1,2909e-003	
770	0,77	5,1442e-005	5,1442e-005	5,1442e-005	
771	0,771	1,3227e-003	1,3227e-003	1,3227e-003	
772	0,772	1,0584e-003	1,0584e-003	1,0584e-003	
773	0,773	-4,3337e-004	-4,3337e-004	-4,3337e-004	
774	0,774	-1,4158e-003	-1,4158e-003	-1,4158e-003	
775	0,775	-7,4167e-004	-7,4167e-004	-7,4167e-004	
776	0,776	7,9278e-004	7,9278e-004	7,9278e-004	
777	0,777	1,3843e-003	1,3843e-003	1,3843e-003	
778	0,778	3,5783e-004	3,5783e-004	3,5783e-004	
779	0,779	-1,0623e-003	-1,0623e-003	-1,0623e-003	
780	0,78	-1,2301e-003	-1,2301e-003	-1,2301e-003	
781	0,781	1,8916e-005	1,8916e-005	1,8916e-005	
782	0,782	1,2289e-003	1,2289e-003	1,2289e-003	
783	0,783	1,0107e-003	1,0107e-003	1,0107e-003	
784	0,784	-3,7519e-004	-3,7519e-004	-3,7519e-004	
785	0,785	-1,3179e-003	-1,3179e-003	-1,3179e-003	
786	0,786	-7,2243e-004	-7,2243e-004	-7,2243e-004	
787	0,787	7,0853e-004	7,0853e-004	7,0853e-004	
788	0,788	1,3008e-003	1,3008e-003	1,3008e-003	
789	0,789	3,75e-004	3,75e-004	3,75e-004	
790	0,79	-9,7209e-004	-9,7209e-004	-9,7209e-004	
791	0,791	-1,1738e-003	-1,1738e-003	-1,1738e-003	
792	0,792	-1,7331e-005	-1,7331e-005	-1,7331e-005	
793	0,793	1,1432e-003	1,1432e-003	1,1432e-003	
794	0,794	9,7103e-004	9,7103e-004	9,7103e-004	
795	0,795	-3,235e-004	-3,235e-004	-3,235e-004	
796	0,796	-1,233e-003	-1,233e-003	-1,233e-003	
797	0,797	-7,0176e-004	-7,0176e-004	-7,0176e-004	
798	0,798	6,3943e-004	6,3943e-004	6,3943e-004	
799	0,799	1,2206e-003	1,2206e-003	1,2206e-003	
800	0,8	3,7981e-004	3,7981e-004	3,7981e-004	
801	0,801	-8,8645e-004	-8,8645e-004	-8,8645e-004	
802	0,802	-1,111e-003	-1,111e-003	-1,111e-003	
803	0,803	-5,1269e-005	-5,1269e-005	-5,1269e-005	
804	0,804	1,0557e-003	1,0557e-003	1,0557e-003	
805	0,805	9,3302e-004	9,3302e-004	9,3302e-004	
806	0,806	-2,698e-004	-2,698e-004	-2,698e-004	
807	0,807	-1,1531e-003	-1,1531e-003	-1,1531e-003	
808	0,808	-6,8788e-004	-6,8788e-004	-6,8788e-004	
809	0,809	5,758e-004	5,758e-004	5,758e-004	
810	0,81	1,1528e-003	1,1528e-003	1,1528e-003	
811	0,811	3,8157e-004	3,8157e-004	3,8157e-004	
812	0,812	-8,1557e-004	-8,1557e-004	-8,1557e-004	
813	0,813	-1,0493e-003	-1,0493e-003	-1,0493e-003	
814	0,814	-7,307e-005	-7,307e-005	-7,307e-005	
815	0,815	9,7263e-004	9,7263e-004	9,7263e-004	
816	0,816	8,8812e-004	8,8812e-004	8,8812e-004	
817	0,817	-2,2092e-004	-2,2092e-004	-2,2092e-004	
818	0,818	-1,07e-003	-1,07e-003	-1,07e-003	
819	0,819	-6,7238e-004	-6,7238e-004	-6,7238e-004	
820	0,82	5,0887e-004	5,0887e-004	5,0887e-004	
821	0,821	1,0881e-003	1,0881e-003	1,0881e-003	
822	0,822	3,9037e-004	3,9037e-004	3,9037e-004	
823	0,823	-7,5049e-004	-7,5049e-004	-7,5049e-004	
824	0,824	-9,99e-004	-9,99e-004	-9,99e-004	
825	0,825	-9,0437e-005	-9,0437e-005	-9,0437e-005	
826	0,826	9,0326e-004	9,0326e-004	9,0326e-004	
827	0,827	8,4338e-004	8,4338e-004	8,4338e-004	
828	0,828	-1,8466e-004	-1,8466e-004	-1,8466e-004	
829	0,829	-9,9148e-004	-9,9148e-004	-9,9148e-004	
830	0,83	-6,4759e-004	-6,4759e-004	-6,4759e-004	
831	0,831	4,4712e-004	4,4712e-004	4,4712e-004	
832	0,832	1,0175e-003	1,0175e-003	1,0175e-003	
833	0,833	3,9756e-004	3,9756e-004	3,9756e-004	
834	0,834	-6,8086e-004	-6,8086e-004	-6,8086e-004	
835	0,835	-9,5228e-004	-9,5228e-004	-9,5228e-004	
836	0,836	-1,1378e-004	-1,1378e-004	-1,1378e-004	
837	0,837	8,404e-004	8,404e-004	8,404e-004	
838	0,838	8,0796e-004	8,0796e-004	8,0796e-004	
839	0,839	-1,5381e-004	-1,5381e-004	-1,5381e-004	
840	0,84	-9,2539e-004	-9,2539e-004	-9,2539e-004	
841	0,841	-6,2136e-004	-6,2136e-004	-6,2136e-004	
842	0,842	3,9857e-004	3,9857e-004	3,9857e-004	
843	0,843	9,491e-004	9,491e-004	9,491e-004	
844	0,844	3,94e-004	3,94e-004	3,94e-004	
845	0,845	-6,1428e-004	-6,1428e-004	-6,1428e-004	
846	0,846	-8,9903e-004	-8,9903e-004	-8,9903e-004	
847	0,847	-1,3653e-004	-1,3653e-004	-1,3653e-004	
848	0,848	7,7421e-004	7,7421e-004	7,7421e-004	
849	0,849	7,7583e-004	7,7583e-004	7,7583e-004	
850	0,85	-1,195e-004	-1,195e-004	-1,195e-004	
851	0,851	-8,6533e-004	-8,6533e-004	-8,6533e-004	
852	0,852	-6,0187e-004	-6,0187e-004	-6,0187e-004	
853	0,853	3,5603e-004	3,5603e-004	3,5603e-004	
854	0,854	8,9136e-004	8,9136e-004	8,9136e-004	
855	0,855	3,8695e-004	3,8695e-004	3,8695e-004	
856	0,856	-5,5973e-004	-5,5973e-004	-5,5973e-004	
857	0,857	-8,4562e-004	-8,4562e-004	-8,4562e-004	
858	0,858	-1,4956e-004	-1,4956e-004	-1,4956e-004	
859	0,859	7,0984e-004	7,0984e-004	7,0984e-004	
860	0,86	7,3834e-004	7,3834e-004	7,3834e-004	
861	0,861	-8,6441e-005	-8,6441e-005	-8,6441e-005	
862	0,862	-8,032e-004	-8,032e-004	-8,032e-004	
863	0,863	-5,8393e-004	-5,8393e-004	-5,8393e-004	
864	0,864	3,1149e-004	3,1149e-004	3,1149e-004	
865	0,865	8,3829e-004	8,3829e-004	8,3829e-004	
866	0,866	3,8476e-004	3,8476e-004	3,8476e-004	
867	0,867	-5,1116e-004	-5,1116e-004	-5,1116e-004	
868	0,868	-8,0052e-004	-8,0052e-004	-8,0052e-004	
869	0,869	-1,5813e-004	-1,5813e-004	-1,5813e-004	
870	0,87	6,553e-004	6,553e-004	6,553e-004	
871	0,871	6,9982e-004	6,9982e-004	6,9982e-004	
872	0,872	-6,1838e-005	-6,1838e-005	-6,1838e-005	
873	0,873	-7,4302e-004	-7,4302e-004	-7,4302e-004	
874	0,874	-5,6067e-004	-5,6067e-004	-5,6067e-004	
875	0,875	2,6927e-004	2,6927e-004	2,6927e-004	
876	0,876	7,8274e-004	7,8274e-004	7,8274e-004	
877	0,877	3,8275e-004	3,8275e-004	3,8275e-004	
878	0,878	-4,6091e-004	-4,6091e-004	-4,6091e-004	
879	0,879	-7,5914e-004	-7,5914e-004	-7,5914e-004	
880	0,88	-1,6997e-004	-1,6997e-004	-1,6997e-004	
881	0,881	6,0645e-004	6,0645e-004	6,0645e-004	
882	0,882	6,6737e-004	6,6737e-004	6,6737e-004	
883	0,883	-4,1942e-005	-4,1942e-005	-4,1942e-005	
884	0,884	-6,9104e-004	-6,9104e-004	-6,9104e-004	
885	0,885	-5,3589e-004	-5,3589e-004	-5,3589e-004	
886	0,886	2,3528e-004	2,3528e-004	2,3528e-004	
887	0,887	7,2865e-004	7,2865e-004	7,2865e-004	
888	0,888	3,7476e-004	3,7476e-004	3,7476e-004	
