	Time [s]	Minimum [mm]	Maximum [mm]	Average [mm]	
107	0,107	-1,9118e-002	-1,9118e-002	-1,9118e-002	
108	0,108	-1,6431e-003	-1,6431e-003	-1,6431e-003	
109	0,109	1,6688e-002	1,6688e-002	1,6688e-002	
110	0,11	1,6932e-002	1,6932e-002	1,6932e-002	
111	0,111	-1,9759e-003	-1,9759e-003	-1,9759e-003	
112	0,112	-2,3055e-002	-2,3055e-002	-2,3055e-002	
113	0,113	-1,3049e-002	-1,3049e-002	-1,3049e-002	
114	0,114	1,4646e-002	1,4646e-002	1,4646e-002	
115	0,115	1,7857e-002	1,7857e-002	1,7857e-002	
116	0,116	3,4127e-003	3,4127e-003	3,4127e-003	
117	0,117	-1,0485e-002	-1,0485e-002	-1,0485e-002	
118	0,118	-1,8069e-002	-1,8069e-002	-1,8069e-002	
119	0,119	-3,3419e-003	-3,3419e-003	-3,3419e-003	
120	0,12	1,8339e-002	1,8339e-002	1,8339e-002	
121	0,121	1,4953e-002	1,4953e-002	1,4953e-002	
122	0,122	-4,4478e-003	-4,4478e-003	-4,4478e-003	
123	0,123	-1,7595e-002	-1,7595e-002	-1,7595e-002	
124	0,124	-1,2346e-002	-1,2346e-002	-1,2346e-002	
125	0,125	9,6093e-003	9,6093e-003	9,6093e-003	
126	0,126	1,9181e-002	1,9181e-002	1,9181e-002	
127	0,127	4,2156e-003	4,2156e-003	4,2156e-003	
128	0,128	-1,1278e-002	-1,1278e-002	-1,1278e-002	
129	0,129	-1,5243e-002	-1,5243e-002	-1,5243e-002	
130	0,13	-4,8701e-003	-4,8701e-003	-4,8701e-003	
131	0,131	1,5907e-002	1,5907e-002	1,5907e-002	
132	0,132	1,7529e-002	1,7529e-002	1,7529e-002	
133	0,133	-5,3483e-003	-5,3483e-003	-5,3483e-003	
134	0,134	-1,8673e-002	-1,8673e-002	-1,8673e-002	
135	0,135	-8,7956e-003	-8,7956e-003	-8,7956e-003	
136	0,136	8,409e-003	8,409e-003	8,409e-003	
137	0,137	1,6012e-002	1,6012e-002	1,6012e-002	
138	0,138	5,8134e-003	5,8134e-003	5,8134e-003	
139	0,139	-1,0799e-002	-1,0799e-002	-1,0799e-002	
140	0,14	-1,4332e-002	-1,4332e-002	-1,4332e-002	
141	0,141	-3,5502e-003	-3,5502e-003	-3,5502e-003	
142	0,142	1,2039e-002	1,2039e-002	1,2039e-002	
143	0,143	1,7022e-002	1,7022e-002	1,7022e-002	
144	0,144	-1,3435e-003	-1,3435e-003	-1,3435e-003	
145	0,145	-1,9976e-002	-1,9976e-002	-1,9976e-002	
146	0,146	-1,0183e-002	-1,0183e-002	-1,0183e-002	
147	0,147	1,0523e-002	1,0523e-002	1,0523e-002	
148	0,148	1,4694e-002	1,4694e-002	1,4694e-002	
149	0,149	4,3227e-003	4,3227e-003	4,3227e-003	
150	0,15	-4,4763e-003	-4,4763e-003	-4,4763e-003	
151	0,151	3,1654e-002	3,1654e-002	3,1654e-002	
152	0,152	0,13501	0,13501	0,13501	
153	0,153	0,2391	0,2391	0,2391	
154	0,154	0,2997	0,2997	0,2997	
155	0,155	0,34102	0,34102	0,34102	
156	0,156	0,38174	0,38174	0,38174	
157	0,157	0,44132	0,44132	0,44132	
158	0,158	0,52498	0,52498	0,52498	
159	0,159	0,60545	0,60545	0,60545	
160	0,16	0,66174	0,66174	0,66174	
161	0,161	0,68559	0,68559	0,68559	
162	0,162	0,70231	0,70231	0,70231	
163	0,163	0,76823	0,76823	0,76823	
164	0,164	0,8584	0,8584	0,8584	
165	0,165	0,90011	0,90011	0,90011	
166	0,166	0,90783	0,90783	0,90783	
167	0,167	0,92218	0,92218	0,92218	
168	0,168	0,94933	0,94933	0,94933	
169	0,169	0,99782	0,99782	0,99782	
170	0,17	1,0467	1,0467	1,0467	
171	0,171	1,0591	1,0591	1,0591	
172	0,172	1,0451	1,0451	1,0451	
173	0,173	1,0342	1,0342	1,0342	
174	0,174	1,05	1,05	1,05	
175	0,175	1,088	1,088	1,088	
176	0,176	1,097	1,097	1,097	
177	0,177	1,0616	1,0616	1,0616	
178	0,178	1,0275	1,0275	1,0275	
179	0,179	1,0127	1,0127	1,0127	
180	0,18	1,0106	1,0106	1,0106	
181	0,181	1,0135	1,0135	1,0135	
182	0,182	0,98691	0,98691	0,98691	
183	0,183	0,92316	0,92316	0,92316	
184	0,184	0,86769	0,86769	0,86769	
185	0,185	0,84506	0,84506	0,84506	
186	0,186	0,83283	0,83283	0,83283	
187	0,187	0,79777	0,79777	0,79777	
188	0,188	0,72853	0,72853	0,72853	
189	0,189	0,65278	0,65278	0,65278	
190	0,19	0,59986	0,59986	0,59986	
191	0,191	0,56162	0,56162	0,56162	
192	0,192	0,52257	0,52257	0,52257	
193	0,193	0,46777	0,46777	0,46777	
194	0,194	0,38005	0,38005	0,38005	
195	0,195	0,28873	0,28873	0,28873	
196	0,196	0,23805	0,23805	0,23805	
197	0,197	0,20619	0,20619	0,20619	
198	0,198	0,14655	0,14655	0,14655	
199	0,199	5,8408e-002	5,8408e-002	5,8408e-002	
200	0,2	-2,4821e-002	-2,4821e-002	-2,4821e-002	
201	0,201	-4,9237e-002	-4,9237e-002	-4,9237e-002	
202	0,202	-4,0737e-003	-4,0737e-003	-4,0737e-003	
203	0,203	3,448e-002	3,448e-002	3,448e-002	
204	0,204	2,7654e-002	2,7654e-002	2,7654e-002	
205	0,205	2,8621e-004	2,8621e-004	2,8621e-004	
206	0,206	-2,9529e-002	-2,9529e-002	-2,9529e-002	
207	0,207	-2,9896e-002	-2,9896e-002	-2,9896e-002	
208	0,208	7,1346e-003	7,1346e-003	7,1346e-003	
209	0,209	3,5107e-002	3,5107e-002	3,5107e-002	
210	0,21	2,4694e-002	2,4694e-002	2,4694e-002	
211	0,211	-1,4962e-002	-1,4962e-002	-1,4962e-002	
212	0,212	-4,362e-002	-4,362e-002	-4,362e-002	
213	0,213	-1,3848e-002	-1,3848e-002	-1,3848e-002	
214	0,214	3,4768e-002	3,4768e-002	3,4768e-002	
215	0,215	3,1195e-002	3,1195e-002	3,1195e-002	
216	0,216	-3,2383e-003	-3,2383e-003	-3,2383e-003	
217	0,217	-2,6879e-002	-2,6879e-002	-2,6879e-002	
218	0,218	-2,8092e-002	-2,8092e-002	-2,8092e-002	
219	0,219	4,6185e-003	4,6185e-003	4,6185e-003	
220	0,22	3,6457e-002	3,6457e-002	3,6457e-002	
221	0,221	2,1362e-002	2,1362e-002	2,1362e-002	
222	0,222	-1,6987e-002	-1,6987e-002	-1,6987e-002	
223	0,223	-3,4661e-002	-3,4661e-002	-3,4661e-002	
224	0,224	-1,425e-002	-1,425e-002	-1,425e-002	
225	0,225	2,6277e-002	2,6277e-002	2,6277e-002	
